HOLE:	1249A
LEG:	204
TOP:	0.0241
BOTTOM:	90.1839
DEPTH_LSF	BDAV	BMAV	BSAV	RING	RBIT
m	ohmm	ohmm	ohmm	ohmm	ohmm		
12.4599	4.0662	2.7706	1.4857	4.0268	5.2377
12.4904	3.7231	2.7216	1.5125	4.1910	5.2960
12.5209	3.7360	2.7531	1.5260	4.2325	5.3110
12.5514	3.8458	2.7360	1.6484	4.1307	5.3176
12.5818	3.8710	2.9335	1.6326	3.9049	5.3824
12.6123	4.1558	2.7628	1.6399	4.0567	5.4092
12.6428	3.9739	2.7813	1.7795	4.3313	5.3865
12.6733	4.1261	2.9347	2.1084	4.3567	5.3378
12.7038	4.4535	3.1568	1.6611	4.3833	5.3288
12.7342	3.9562	3.9464	1.8721	4.6180	5.2855
12.7647	4.4256	3.8797	1.6459	4.6845	5.2411
12.7952	4.2643	3.6017	1.9087	5.0710	5.3026
12.8257	4.5618	3.1022	2.0452	5.2692	5.2661
12.8562	4.7266	3.3923	1.8323	5.1778	5.3240
12.8866	4.7279	3.2528	2.0660	4.9097	5.3946
12.9171	4.5174	4.5692	1.8582	4.5741	5.3349
12.9476	4.5899	4.2631	2.0427	4.6596	5.4638
12.9781	5.2383	4.2129	2.3291	4.7954	5.3990
13.0086	4.6516	4.3160	2.8411	4.8565	5.5717
13.0390	5.1171	4.3777	2.0369	5.1019	5.4615
13.0695	4.7474	4.3310	2.5863	5.4311	5.4287
13.1000	5.5416	4.9741	2.4757	5.6742	5.6313
13.1305	5.5241	4.4811	2.9305	5.4815	5.7881
13.1610	5.4341	4.0107	2.4790	5.3000	5.6304
13.1914	5.8671	4.9442	2.5669	5.6766	5.8335
13.2219	5.9907	4.2563	2.9227	5.3423	5.7861
13.2524	5.6720	4.7550	3.9341	5.7346	6.0016
13.2829	5.3174	4.7145	3.2247	6.4163	5.7648
13.3134	5.3889	5.0140	3.4135	5.5320	5.9234
13.3438	4.8649	5.8540	3.4433	5.6776	6.1769
13.3743	5.7022	5.6841	3.4269	6.1812	6.0958
